;City;Gender;variable;value;Numb
597;Erzincan-24;F;-30.34;7831;7831
598;Erzurum-25;F;-30.34;26272;26272
599;Eskişehir-26;F;-30.34;32476;32476
600;Gaziantep-27;F;-30.34;78919;78919
601;Giresun-28;F;-30.34;13481;13481
602;Gümüşhane-29;F;-30.34;5331;5331
603;Hakkari-30;F;-30.34;9820;9820
604;Hatay-31;F;-30.34;58595;58595
605;Iğdır-76;F;-30.34;6953;6953
606;Isparta-32;F;-30.34;14411;14411
607;İstanbul-34;F;-30.34;681692;681692
608;İzmir-35;F;-30.34;166502;166502
609;Kahramanmaraş-46;F;-30.34;41456;41456
610;Karabük-78;F;-30.34;7354;7354
611;Karaman-70;F;-30.34;8756;8756
612;Kars-36;F;-30.34;9335;9335
613;Kastamonu-37;F;-30.34;11667;11667
614;Kayseri-38;F;-30.34;53239;53239
615;Kilis-79;F;-30.34;4576;4576
616;Kırıkkale-71;F;-30.34;9268;9268
617;Kırklareli-39;F;-30.34;11661;11661
618;Kırşehir-40;F;-30.34;8085;8085
619;Kocaeli-41;F;-30.34;82719;82719
620;Konya-42;F;-30.34;80043;80043
621;Kütahya-43;F;-30.34;20329;20329
622;Malatya-44;F;-30.34;28659;28659
623;Manisa-45;F;-30.34;51780;51780
624;Mardin-47;F;-30.34;30594;30594
625;Mersin-33;F;-30.34;66183;66183
626;Muğla-48;F;-30.34;35238;35238
627;Muş-49;F;-30.34;13690;13690
628;Nevşehir-50;F;-30.34;10701;10701
629;Niğde-51;F;-30.34;11764;11764
630;Ordu-52;F;-30.34;23677;23677
631;Osmaniye-80;F;-30.34;18340;18340
632;Rize-53;F;-30.34;11375;11375
633;Sakarya-54;F;-30.34;37694;37694
634;Samsun-55;F;-30.34;46460;46460
635;Şanlıurfa-63;F;-30.34;71964;71964
636;Siirt-56;F;-30.34;10925;10925
637;Sinop-57;F;-30.34;6559;6559
638;Şırnak-73;F;-30.34;17015;17015
639;Sivas-58;F;-30.34;21215;21215
640;Tekirdağ-59;F;-30.34;42561;42561
641;Tokat-60;F;-30.34;19744;19744
642;Trabzon-61;F;-30.34;27993;27993
643;Tunceli-62;F;-30.34;2896;2896
644;Uşak-64;F;-30.34;13130;13130
645;Van-65;F;-30.34;41651;41651
646;Yalova-77;F;-30.34;9442;9442
647;Yozgat-66;F;-30.34;13851;13851
648;Zonguldak-67;F;-30.34;19797;19797
649;Adana-1;M;-35.39;88602;-88602
650;Adıyaman-2;M;-35.39;23084;-23084
651;Afyonkarahisar-3;M;-35.39;27368;-27368
652;Ağrı-4;M;-35.39;17376;-17376
653;Aksaray-68;M;-35.39;15835;-15835
654;Amasya-5;M;-35.39;12177;-12177
655;Ankara-6;M;-35.39;233215;-233215
656;Antalya-7;M;-35.39;109817;-109817
657;Ardahan-75;M;-35.39;3612;-3612
658;Artvin-8;M;-35.39;6077;-6077
659;Aydın-9;M;-35.39;41508;-41508
660;Balıkesir-10;M;-35.39;44775;-44775
661;Bartın-74;M;-35.39;7564;-7564
662;Batman-72;M;-35.39;20624;-20624
663;Bayburt-69;M;-35.39;2702;-2702
664;Bilecik-11;M;-35.39;9297;-9297
665;Bingöl-12;M;-35.39;10600;-10600
666;Bitlis-13;M;-35.39;11709;-11709
667;Bolu-14;M;-35.39;12001;-12001
668;Burdur-15;M;-35.39;9231;-9231
669;Bursa-16;M;-35.39;131678;-131678
670;Çanakkale-17;M;-35.39;20714;-20714
671;Çankırı-18;M;-35.39;6671;-6671
672;Çorum-19;M;-35.39;19003;-19003
673;Denizli-20;M;-35.39;42749;-42749
674;Diyarbakır-21;M;-35.39;62914;-62914
675;Düzce-81;M;-35.39;15256;-15256
676;Edirne-22;M;-35.39;15029;-15029
677;Elazığ-23;M;-35.39;22089;-22089
678;Erzincan-24;M;-35.39;8345;-8345
679;Erzurum-25;M;-35.39;26523;-26523
680;Eskişehir-26;M;-35.39;35274;-35274
681;Gaziantep-27;M;-35.39;78317;-78317
682;Giresun-28;M;-35.39;15164;-15164
683;Gümüşhane-29;M;-35.39;5703;-5703
684;Hakkari-30;M;-35.39;10251;-10251
685;Hatay-31;M;-35.39;60532;-60532
686;Iğdır-76;M;-35.39;7207;-7207
687;Isparta-32;M;-35.39;16045;-16045
688;İstanbul-34;M;-35.39;721320;-721320
689;İzmir-35;M;-35.39;182984;-182984
690;Kahramanmaraş-46;M;-35.39;45253;-45253
691;Karabük-78;M;-35.39;8581;-8581
692;Karaman-70;M;-35.39;9730;-9730
693;Kars-36;M;-35.39;9945;-9945
694;Kastamonu-37;M;-35.39;13208;-13208
695;Kayseri-38;M;-35.39;57220;-57220
696;Kilis-79;M;-35.39;4787;-4787
697;Kırıkkale-71;M;-35.39;10188;-10188
698;Kırklareli-39;M;-35.39;14493;-14493
699;Kırşehir-40;M;-35.39;8809;-8809
700;Kocaeli-41;M;-35.39;89064;-89064
701;Konya-42;M;-35.39;83902;-83902
702;Kütahya-43;M;-35.39;21620;-21620
703;Malatya-44;M;-35.39;29958;-29958
704;Manisa-45;M;-35.39;57778;-57778
705;Mardin-47;M;-35.39;27306;-27306
706;Mersin-33;M;-35.39;70421;-70421
707;Muğla-48;M;-35.39;41246;-41246
708;Muş-49;M;-35.39;12745;-12745
709;Nevşehir-50;M;-35.39;11523;-11523
710;Niğde-51;M;-35.39;13463;-13463
711;Ordu-52;M;-35.39;27040;-27040
712;Osmaniye-80;M;-35.39;20397;-20397
713;Rize-53;M;-35.39;12363;-12363
714;Sakarya-54;M;-35.39;40509;-40509
715;Samsun-55;M;-35.39;49181;-49181
716;Şanlıurfa-63;M;-35.39;62168;-62168
717;Siirt-56;M;-35.39;10085;-10085
718;Sinop-57;M;-35.39;7336;-7336
719;Şırnak-73;M;-35.39;15450;-15450
720;Sivas-58;M;-35.39;22435;-22435
721;Tekirdağ-59;M;-35.39;48821;-48821
722;Tokat-60;M;-35.39;20854;-20854
723;Trabzon-61;M;-35.39;29737;-29737
724;Tunceli-62;M;-35.39;3604;-3604
725;Uşak-64;M;-35.39;14662;-14662
726;Van-65;M;-35.39;39153;-39153
727;Yalova-77;M;-35.39;9980;-9980
728;Yozgat-66;M;-35.39;14711;-14711
729;Zonguldak-67;M;-35.39;24091;-24091
730;Adana-1;F;-35.39;87954;87954
731;Adıyaman-2;F;-35.39;22301;22301
732;Afyonkarahisar-3;F;-35.39;26091;26091
733;Ağrı-4;F;-35.39;15460;15460
734;Aksaray-68;F;-35.39;15038;15038
735;Amasya-5;F;-35.39;11809;11809
736;Ankara-6;F;-35.39;239837;239837
737;Antalya-7;F;-35.39;108947;108947
738;Ardahan-75;F;-35.39;2940;2940
739;Artvin-8;F;-35.39;5391;5391
740;Aydın-9;F;-35.39;40916;40916
741;Balıkesir-10;F;-35.39;43934;43934
742;Bartın-74;F;-35.39;7268;7268
743;Batman-72;F;-35.39;20422;20422
744;Bayburt-69;F;-35.39;2473;2473
745;Bilecik-11;F;-35.39;8117;8117
746;Bingöl-12;F;-35.39;10069;10069
747;Bitlis-13;F;-35.39;10275;10275
748;Bolu-14;F;-35.39;11598;11598
749;Burdur-15;F;-35.39;8667;8667
750;Bursa-16;F;-35.39;130180;130180
751;Çanakkale-17;F;-35.39;20074;20074
752;Çankırı-18;F;-35.39;5893;5893
753;Çorum-19;F;-35.39;18754;18754
754;Denizli-20;F;-35.39;42344;42344
755;Diyarbakır-21;F;-35.39;62035;62035
756;Düzce-81;F;-35.39;14845;14845
757;Edirne-22;F;-35.39;13904;13904
758;Elazığ-23;F;-35.39;22543;22543
759;Erzincan-24;F;-35.39;7869;7869
760;Erzurum-25;F;-35.39;25916;25916
761;Eskişehir-26;F;-35.39;34645;34645
762;Gaziantep-27;F;-35.39;74391;74391
763;Giresun-28;F;-35.39;14213;14213
764;Gümüşhane-29;F;-35.39;4826;4826
765;Hakkari-30;F;-35.39;9732;9732
766;Hatay-31;F;-35.39;61398;61398
767;Iğdır-76;F;-35.39;6591;6591
768;Isparta-32;F;-35.39;15619;15619
769;İstanbul-34;F;-35.39;708693;708693
770;İzmir-35;F;-35.39;182960;182960
771;Kahramanmaraş-46;F;-35.39;42965;42965
772;Karabük-78;F;-35.39;8161;8161
773;Karaman-70;F;-35.39;9028;9028
774;Kars-36;F;-35.39;9312;9312
775;Kastamonu-37;F;-35.39;12678;12678
776;Kayseri-38;F;-35.39;55901;55901
777;Kilis-79;F;-35.39;4498;4498
778;Kırıkkale-71;F;-35.39;9453;9453
779;Kırklareli-39;F;-35.39;13267;13267
780;Kırşehir-40;F;-35.39;8004;8004
781;Kocaeli-41;F;-35.39;86256;86256
782;Konya-42;F;-35.39;82884;82884
783;Kütahya-43;F;-35.39;21399;21399
784;Malatya-44;F;-35.39;30984;30984
785;Manisa-45;F;-35.39;56089;56089
786;Mardin-47;F;-35.39;26916;26916
787;Mersin-33;F;-35.39;70993;70993
788;Muğla-48;F;-35.39;39523;39523
789;Muş-49;F;-35.39;11956;11956
790;Nevşehir-50;F;-35.39;11195;11195
791;Niğde-51;F;-35.39;12552;12552
792;Ordu-52;F;-35.39;26509;26509
793;Osmaniye-80;F;-35.39;19938;19938
794;Rize-53;F;-35.39;11549;11549
795;Sakarya-54;F;-35.39;40111;40111
796;Samsun-55;F;-35.39;50479;50479
797;Şanlıurfa-63;F;-35.39;61252;61252
798;Siirt-56;F;-35.39;9578;9578
799;Sinop-57;F;-35.39;6943;6943
800;Şırnak-73;F;-35.39;15267;15267
801;Sivas-58;F;-35.39;21166;21166
802;Tekirdağ-59;F;-35.39;45471;45471
803;Tokat-60;F;-35.39;20929;20929
804;Trabzon-61;F;-35.39;29073;29073
805;Tunceli-62;F;-35.39;2794;2794
806;Uşak-64;F;-35.39;14119;14119
807;Van-65;F;-35.39;37084;37084
808;Yalova-77;F;-35.39;10165;10165
809;Yozgat-66;F;-35.39;13514;13514
810;Zonguldak-67;F;-35.39;23197;23197
811;Adana-1;M;-40.44;81661;-81661
812;Adıyaman-2;M;-40.44;19849;-19849
813;Afyonkarahisar-3;M;-40.44;24348;-24348
814;Ağrı-4;M;-40.44;12422;-12422
815;Aksaray-68;M;-40.44;14319;-14319
816;Amasya-5;M;-40.44;11182;-11182
817;Ankara-6;M;-40.44;216980;-216980
818;Antalya-7;M;-40.44;103716;-103716
819;Ardahan-75;M;-40.44;3217;-3217
820;Artvin-8;M;-40.44;5566;-5566
821;Aydın-9;M;-40.44;39556;-39556
822;Balıkesir-10;M;-40.44;45086;-45086
823;Bartın-74;M;-40.44;7380;-7380
824;Batman-72;M;-40.44;16559;-16559
825;Bayburt-69;M;-40.44;2496;-2496
826;Bilecik-11;M;-40.44;8243;-8243
827;Bingöl-12;M;-40.44;8435;-8435
828;Bitlis-13;M;-40.44;8691;-8691
829;Bolu-14;M;-40.44;11248;-11248
830;Burdur-15;M;-40.44;9304;-9304
831;Bursa-16;M;-40.44;120339;-120339
832;Çanakkale-17;M;-40.44;20076;-20076
833;Çankırı-18;M;-40.44;5987;-5987
834;Çorum-19;M;-40.44;18261;-18261
835;Denizli-20;M;-40.44;41574;-41574
836;Diyarbakır-21;M;-40.44;50265;-50265
837;Düzce-81;M;-40.44;15001;-15001
838;Edirne-22;M;-40.44;14912;-14912
839;Elazığ-23;M;-40.44;19561;-19561
840;Erzincan-24;M;-40.44;7776;-7776
841;Erzurum-25;M;-40.44;22906;-22906
842;Eskişehir-26;M;-40.44;33144;-33144
843;Gaziantep-27;M;-40.44;68081;-68081
844;Giresun-28;M;-40.44;14520;-14520
845;Gümüşhane-29;M;-40.44;5354;-5354
846;Hakkari-30;M;-40.44;7216;-7216
847;Hatay-31;M;-40.44;55796;-55796
848;Iğdır-76;M;-40.44;5750;-5750
849;Isparta-32;M;-40.44;15405;-15405
850;İstanbul-34;M;-40.44;644655;-644655
851;İzmir-35;M;-40.44;173908;-173908
852;Kahramanmaraş-46;M;-40.44;39701;-39701
853;Karabük-78;M;-40.44;8405;-8405
854;Karaman-70;M;-40.44;8556;-8556
855;Kars-36;M;-40.44;8493;-8493
856;Kastamonu-37;M;-40.44;12163;-12163
857;Kayseri-38;M;-40.44;51552;-51552
858;Kilis-79;M;-40.44;4121;-4121
859;Kırıkkale-71;M;-40.44;9220;-9220
860;Kırklareli-39;M;-40.44;14042;-14042
861;Kırşehir-40;M;-40.44;8096;-8096
862;Kocaeli-41;M;-40.44;79757;-79757
863;Konya-42;M;-40.44;74609;-74609
864;Kütahya-43;M;-40.44;20947;-20947
865;Malatya-44;M;-40.44;28410;-28410
866;Manisa-45;M;-40.44;53708;-53708
867;Mardin-47;M;-40.44;21518;-21518
868;Mersin-33;M;-40.44;67047;-67047
869;Muğla-48;M;-40.44;40927;-40927
870;Muş-49;M;-40.44;10407;-10407
871;Nevşehir-50;M;-40.44;10504;-10504
872;Niğde-51;M;-40.44;12162;-12162
873;Ordu-52;M;-40.44;25863;-25863
874;Osmaniye-80;M;-40.44;18739;-18739
875;Rize-53;M;-40.44;12240;-12240
876;Sakarya-54;M;-40.44;38745;-38745
877;Samsun-55;M;-40.44;47602;-47602
878;Şanlıurfa-63;M;-40.44;49109;-49109
879;Siirt-56;M;-40.44;7736;-7736
880;Sinop-57;M;-40.44;6711;-6711
881;Şırnak-73;M;-40.44;10865;-10865
882;Sivas-58;M;-40.44;20558;-20558
883;Tekirdağ-59;M;-40.44;43853;-43853
884;Tokat-60;M;-40.44;20152;-20152
885;Trabzon-61;M;-40.44;28056;-28056
886;Tunceli-62;M;-40.44;3210;-3210
887;Uşak-64;M;-40.44;13650;-13650
888;Van-65;M;-40.44;28027;-28027
889;Yalova-77;M;-40.44;9676;-9676
890;Yozgat-66;M;-40.44;13321;-13321
891;Zonguldak-67;M;-40.44;23695;-23695
892;Adana-1;F;-40.44;81395;81395
893;Adıyaman-2;F;-40.44;19510;19510
894;Afyonkarahisar-3;F;-40.44;24344;24344
895;Ağrı-4;F;-40.44;11076;11076
896;Aksaray-68;F;-40.44;13942;13942
897;Amasya-5;F;-40.44;11201;11201
898;Ankara-6;F;-40.44;222934;222934
899;Antalya-7;F;-40.44;101409;101409
900;Ardahan-75;F;-40.44;2663;2663
901;Artvin-8;F;-40.44;5017;5017
902;Aydın-9;F;-40.44;39782;39782
903;Balıkesir-10;F;-40.44;44242;44242
904;Bartın-74;F;-40.44;7125;7125
905;Batman-72;F;-40.44;16334;16334
906;Bayburt-69;F;-40.44;2103;2103
907;Bilecik-11;F;-40.44;7432;7432
908;Bingöl-12;F;-40.44;8329;8329
909;Bitlis-13;F;-40.44;7744;7744
910;Bolu-14;F;-40.44;10938;10938
911;Burdur-15;F;-40.44;8717;8717
912;Bursa-16;F;-40.44;117919;117919
913;Çanakkale-17;F;-40.44;19134;19134
914;Çankırı-18;F;-40.44;5579;5579
915;Çorum-19;F;-40.44;18236;18236
916;Denizli-20;F;-40.44;40540;40540
917;Diyarbakır-21;F;-40.44;49386;49386
918;Düzce-81;F;-40.44;13746;13746
919;Edirne-22;F;-40.44;13977;13977
920;Elazığ-23;F;-40.44;20569;20569
921;Erzincan-24;F;-40.44;7069;7069
922;Erzurum-25;F;-40.44;22087;22087
923;Eskişehir-26;F;-40.44;33658;33658
924;Gaziantep-27;F;-40.44;63597;63597
925;Giresun-28;F;-40.44;13460;13460
926;Gümüşhane-29;F;-40.44;4458;4458
927;Hakkari-30;F;-40.44;7047;7047
928;Hatay-31;F;-40.44;55217;55217
929;Iğdır-76;F;-40.44;5106;5106
930;Isparta-32;F;-40.44;15234;15234
931;İstanbul-34;F;-40.44;633554;633554
932;İzmir-35;F;-40.44;174484;174484
933;Kahramanmaraş-46;F;-40.44;37026;37026
934;Karabük-78;F;-40.44;8501;8501
935;Karaman-70;F;-40.44;8252;8252
936;Kars-36;F;-40.44;7502;7502
937;Kastamonu-37;F;-40.44;11492;11492
938;Kayseri-38;F;-40.44;49803;49803
939;Kilis-79;F;-40.44;3954;3954
940;Kırıkkale-71;F;-40.44;8967;8967
941;Kırklareli-39;F;-40.44;13113;13113
942;Kırşehir-40;F;-40.44;7910;7910
943;Kocaeli-41;F;-40.44;74560;74560
944;Konya-42;F;-40.44;74093;74093
945;Kütahya-43;F;-40.44;20593;20593
946;Malatya-44;F;-40.44;28442;28442
947;Manisa-45;F;-40.44;51238;51238
948;Mardin-47;F;-40.44;22011;22011
949;Mersin-33;F;-40.44;68012;68012
950;Muğla-48;F;-40.44;38329;38329
951;Muş-49;F;-40.44;9628;9628
952;Nevşehir-50;F;-40.44;9967;9967
953;Niğde-51;F;-40.44;11427;11427
954;Ordu-52;F;-40.44;24955;24955
955;Osmaniye-80;F;-40.44;18410;18410
956;Rize-53;F;-40.44;11381;11381
957;Sakarya-54;F;-40.44;37546;37546
958;Samsun-55;F;-40.44;47598;47598
959;Şanlıurfa-63;F;-40.44;48099;48099
960;Siirt-56;F;-40.44;7415;7415
961;Sinop-57;F;-40.44;6188;6188
962;Şırnak-73;F;-40.44;11701;11701
963;Sivas-58;F;-40.44;19932;19932
964;Tekirdağ-59;F;-40.44;39517;39517
965;Tokat-60;F;-40.44;19706;19706
966;Trabzon-61;F;-40.44;26479;26479
967;Tunceli-62;F;-40.44;2377;2377
968;Uşak-64;F;-40.44;13473;13473
969;Van-65;F;-40.44;25532;25532
970;Yalova-77;F;-40.44;9785;9785
971;Yozgat-66;F;-40.44;12570;12570
972;Zonguldak-67;F;-40.44;22708;22708
973;Adana-1;M;-45.49;74344;-74344
974;Adıyaman-2;M;-45.49;18310;-18310
975;Afyonkarahisar-3;M;-45.49;22843;-22843
976;Ağrı-4;M;-45.49;13029;-13029
977;Aksaray-68;M;-45.49;13021;-13021
978;Amasya-5;M;-45.49;10851;-10851
979;Ankara-6;M;-45.49;198471;-198471
980;Antalya-7;M;-45.49;96275;-96275
981;Ardahan-75;M;-45.49;3398;-3398
982;Artvin-8;M;-45.49;6004;-6004
983;Aydın-9;M;-45.49;38036;-38036
984;Balıkesir-10;M;-45.49;44154;-44154
985;Bartın-74;M;-45.49;6840;-6840
986;Batman-72;M;-45.49;14412;-14412
987;Bayburt-69;M;-45.49;2362;-2362
988;Bilecik-11;M;-45.49;7736;-7736
989;Bingöl-12;M;-45.49;8080;-8080
990;Bitlis-13;M;-45.49;8844;-8844
991;Bolu-14;M;-45.49;10639;-10639
992;Burdur-15;M;-45.49;8918;-8918
993;Bursa-16;M;-45.49;110819;-110819
994;Çanakkale-17;M;-45.49;18877;-18877
995;Çankırı-18;M;-45.49;5989;-5989
996;Çorum-19;M;-45.49;17616;-17616
997;Denizli-20;M;-45.49;37075;-37075
998;Diyarbakır-21;M;-45.49;43305;-43305
999;Düzce-81;M;-45.49;13504;-13504
1000;Edirne-22;M;-45.49;13852;-13852
1001;Elazığ-23;M;-45.49;19188;-19188
1002;Erzincan-24;M;-45.49;7481;-7481
1003;Erzurum-25;M;-45.49;22377;-22377
1004;Eskişehir-26;M;-45.49;31335;-31335
1005;Gaziantep-27;M;-45.49;56495;-56495
1006;Giresun-28;M;-45.49;14625;-14625
1007;Gümüşhane-29;M;-45.49;5146;-5146
1008;Hakkari-30;M;-45.49;5758;-5758
1009;Hatay-31;M;-45.49;52231;-52231
1010;Iğdır-76;M;-45.49;5434;-5434
1011;Isparta-32;M;-45.49;14538;-14538
1012;İstanbul-34;M;-45.49;578228;-578228
1013;İzmir-35;M;-45.49;159804;-159804
1014;Kahramanmaraş-46;M;-45.49;35702;-35702
1015;Karabük-78;M;-45.49;8328;-8328
1016;Karaman-70;M;-45.49;8427;-8427
1017;Kars-36;M;-45.49;8466;-8466
1018;Kastamonu-37;M;-45.49;11472;-11472
1019;Kayseri-38;M;-45.49;46971;-46971
1020;Kilis-79;M;-45.49;3958;-3958
1021;Kırıkkale-71;M;-45.49;9446;-9446
1022;Kırklareli-39;M;-45.49;12952;-12952
1023;Kırşehir-40;M;-45.49;7794;-7794
1024;Kocaeli-41;M;-45.49;68337;-68337
1025;Konya-42;M;-45.49;68998;-68998
1026;Kütahya-43;M;-45.49;19355;-19355
1027;Malatya-44;M;-45.49;26471;-26471
1028;Manisa-45;M;-45.49;49294;-49294
1029;Mardin-47;M;-45.49;20044;-20044
1030;Mersin-33;M;-45.49;64309;-64309
1031;Muğla-48;M;-45.49;38486;-38486
1032;Muş-49;M;-45.49;9246;-9246
1033;Nevşehir-50;M;-45.49;9839;-9839
1034;Niğde-51;M;-45.49;11965;-11965
1035;Ordu-52;M;-45.49;26582;-26582
1036;Osmaniye-80;M;-45.49;17563;-17563
1037;Rize-53;M;-45.49;12794;-12794
1038;Sakarya-54;M;-45.49;35063;-35063
1039;Samsun-55;M;-45.49;45307;-45307
1040;Şanlıurfa-63;M;-45.49;41530;-41530
1041;Siirt-56;M;-45.49;6921;-6921
1042;Sinop-57;M;-45.49;6495;-6495
1043;Şırnak-73;M;-45.49;9239;-9239
1044;Sivas-58;M;-45.49;19100;-19100
1045;Tekirdağ-59;M;-45.49;38382;-38382
1046;Tokat-60;M;-45.49;19894;-19894
1047;Trabzon-61;M;-45.49;27344;-27344
1048;Tunceli-62;M;-45.49;3165;-3165
1049;Uşak-64;M;-45.49;12875;-12875
1050;Van-65;M;-45.49;27320;-27320
1051;Yalova-77;M;-45.49;9404;-9404
1052;Yozgat-66;M;-45.49;12900;-12900
1053;Zonguldak-67;M;-45.49;20856;-20856
1054;Adana-1;F;-45.49;75371;75371
1055;Adıyaman-2;F;-45.49;17985;17985
1056;Afyonkarahisar-3;F;-45.49;23277;23277
1057;Ağrı-4;F;-45.49;11383;11383
1058;Aksaray-68;F;-45.49;13362;13362
1059;Amasya-5;F;-45.49;11078;11078
1060;Ankara-6;F;-45.49;206136;206136
1061;Antalya-7;F;-45.49;94572;94572
1062;Ardahan-75;F;-45.49;2877;2877
1063;Artvin-8;F;-45.49;5811;5811
1064;Aydın-9;F;-45.49;38231;38231
1065;Balıkesir-10;F;-45.49;44662;44662
1066;Bartın-74;F;-45.49;6925;6925
1067;Batman-72;F;-45.49;13665;13665
1068;Bayburt-69;F;-45.49;2487;2487
1069;Bilecik-11;F;-45.49;7327;7327
1070;Bingöl-12;F;-45.49;7970;7970
1071;Bitlis-13;F;-45.49;8059;8059
1072;Bolu-14;F;-45.49;10596;10596
1073;Burdur-15;F;-45.49;8884;8884
1074;Bursa-16;F;-45.49;109833;109833
1075;Çanakkale-17;F;-45.49;19021;19021
1076;Çankırı-18;F;-45.49;5912;5912
1077;Çorum-19;F;-45.49;17836;17836
1078;Denizli-20;F;-45.49;36212;36212
1079;Diyarbakır-21;F;-45.49;42334;42334
1080;Düzce-81;F;-45.49;13419;13419
1081;Edirne-22;F;-45.49;13692;13692
1082;Elazığ-23;F;-45.49;21003;21003
1083;Erzincan-24;F;-45.49;7042;7042
1084;Erzurum-25;F;-45.49;22042;22042
1085;Eskişehir-26;F;-45.49;32249;32249
1086;Gaziantep-27;F;-45.49;54438;54438
1087;Giresun-28;F;-45.49;14285;14285
1088;Gümüşhane-29;F;-45.49;4890;4890
1089;Hakkari-30;F;-45.49;5161;5161
1090;Hatay-31;F;-45.49;53132;53132
1091;Iğdır-76;F;-45.49;5107;5107
1092;Isparta-32;F;-45.49;14720;14720
1093;İstanbul-34;F;-45.49;567468;567468
1094;İzmir-35;F;-45.49;163963;163963
1095;Kahramanmaraş-46;F;-45.49;34670;34670
1096;Karabük-78;F;-45.49;8447;8447
1097;Karaman-70;F;-45.49;8169;8169
1098;Kars-36;F;-45.49;7575;7575
1099;Kastamonu-37;F;-45.49;11797;11797
1100;Kayseri-38;F;-45.49;46125;46125
1101;Kilis-79;F;-45.49;3725;3725
1102;Kırıkkale-71;F;-45.49;9589;9589
1103;Kırklareli-39;F;-45.49;12344;12344
1104;Kırşehir-40;F;-45.49;7798;7798
1105;Kocaeli-41;F;-45.49;66152;66152
1106;Konya-42;F;-45.49;70796;70796
1107;Kütahya-43;F;-45.49;20052;20052
1108;Malatya-44;F;-45.49;27294;27294
1109;Manisa-45;F;-45.49;49607;49607
1110;Mardin-47;F;-45.49;20417;20417
1111;Mersin-33;F;-45.49;65390;65390
1112;Muğla-48;F;-45.49;36403;36403
1113;Muş-49;F;-45.49;8296;8296
1114;Nevşehir-50;F;-45.49;9718;9718
1115;Niğde-51;F;-45.49;11781;11781
1116;Ordu-52;F;-45.49;26393;26393
1117;Osmaniye-80;F;-45.49;17919;17919
1118;Rize-53;F;-45.49;12187;12187
1119;Sakarya-54;F;-45.49;35150;35150
1120;Samsun-55;F;-45.49;47513;47513
1121;Şanlıurfa-63;F;-45.49;41050;41050
1122;Siirt-56;F;-45.49;6395;6395
1123;Sinop-57;F;-45.49;6721;6721
1124;Şırnak-73;F;-45.49;9090;9090
1125;Sivas-58;F;-45.49;19309;19309
1126;Tekirdağ-59;F;-45.49;35999;35999
1127;Tokat-60;F;-45.49;20326;20326
1128;Trabzon-61;F;-45.49;27002;27002
1129;Tunceli-62;F;-45.49;2673;2673
1130;Uşak-64;F;-45.49;12702;12702
1131;Van-65;F;-45.49;25533;25533
1132;Yalova-77;F;-45.49;9561;9561
1133;Yozgat-66;F;-45.49;13054;13054
1134;Zonguldak-67;F;-45.49;21582;21582
1135;Adana-1;M;-50.54;63073;-63073
1136;Adıyaman-2;M;-50.54;14761;-14761
1137;Afyonkarahisar-3;M;-50.54;21566;-21566
1138;Ağrı-4;M;-50.54;8519;-8519
1139;Aksaray-68;M;-50.54;10626;-10626
1140;Amasya-5;M;-50.54;10483;-10483
1141;Ankara-6;M;-50.54;173111;-173111
1142;Antalya-7;M;-50.54;80536;-80536
1143;Ardahan-75;M;-50.54;2652;-2652
1144;Artvin-8;M;-50.54;5885;-5885
1145;Aydın-9;M;-50.54;36331;-36331
1146;Balıkesir-10;M;-50.54;42794;-42794
1147;Bartın-74;M;-50.54;6255;-6255
1148;Batman-72;M;-50.54;10491;-10491
1149;Bayburt-69;M;-50.54;2197;-2197
1150;Bilecik-11;M;-50.54;7052;-7052
1151;Bingöl-12;M;-50.54;6073;-6073
1152;Bitlis-13;M;-50.54;6718;-6718
1153;Bolu-14;M;-50.54;9283;-9283
1154;Burdur-15;M;-50.54;8601;-8601
1155;Bursa-16;M;-50.54;95477;-95477
1156;Çanakkale-17;M;-50.54;18490;-18490
1157;Çankırı-18;M;-50.54;6156;-6156
1158;Çorum-19;M;-50.54;16429;-16429
1159;Denizli-20;M;-50.54;33910;-33910
1160;Diyarbakır-21;M;-50.54;32288;-32288
1161;Düzce-81;M;-50.54;11814;-11814
1162;Edirne-22;M;-50.54;14270;-14270
1163;Elazığ-23;M;-50.54;16597;-16597
1164;Erzincan-24;M;-50.54;6578;-6578
1165;Erzurum-25;M;-50.54;18004;-18004
1166;Eskişehir-26;M;-50.54;28756;-28756
1167;Gaziantep-27;M;-50.54;44037;-44037
1168;Giresun-28;M;-50.54;15288;-15288
1169;Gümüşhane-29;M;-50.54;4905;-4905
1170;Hakkari-30;M;-50.54;4087;-4087
1171;Hatay-31;M;-50.54;45249;-45249
1172;Iğdır-76;M;-50.54;4141;-4141
1173;Isparta-32;M;-50.54;13035;-13035
1174;İstanbul-34;M;-50.54;453346;-453346
1175;İzmir-35;M;-50.54;140765;-140765
1176;Kahramanmaraş-46;M;-50.54;28333;-28333
1177;Karabük-78;M;-50.54;7906;-7906
1178;Karaman-70;M;-50.54;7317;-7317
1179;Kars-36;M;-50.54;6601;-6601
1180;Kastamonu-37;M;-50.54;11145;-11145
1181;Kayseri-38;M;-50.54;39403;-39403
1182;Kilis-79;M;-50.54;3387;-3387
1183;Kırıkkale-71;M;-50.54;9740;-9740
1184;Kırklareli-39;M;-50.54;12515;-12515
1185;Kırşehir-40;M;-50.54;7980;-7980
1186;Kocaeli-41;M;-50.54;55223;-55223
1187;Konya-42;M;-50.54;61003;-61003
1188;Kütahya-43;M;-50.54;17657;-17657
