City;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90+;Gender
Hakkari-30;15428.0;23417.0;21203.0;11447.0;10251.0;7216.0;5758.0;4087.0;3734.0;2411.0;1527.0;1069.0;759.0;384.0;194.0;98.0;M
Hatay-31;69720.0;62323.0;54098.0;57029.0;60532.0;55796.0;52231.0;45249.0;40976.0;31341.0;22431.0;14958.0;7111.0;6819.0;3469.0;920.0;M
Iğdır-76;9876.0;10002.0;8819.0;7672.0;7207.0;5750.0;5434.0;4141.0;3942.0;3061.0;2286.0;1698.0;894.0;584.0;363.0;105.0;M
Isparta-32;17147.0;22552.0;15516.0;15086.0;16045.0;15405.0;14538.0;13035.0;13147.0;11692.0;9498.0;6597.0;4201.0;2565.0;1792.0;460.0;M
İstanbul-34;563324.0;620290.0;665305.0;693476.0;721320.0;644655.0;578228.0;453346.0;379429.0;281093.0;189853.0;125966.0;74215.0;40761.0;23911.0;7226.0;M
İzmir-35;138707.0;160512.0;165203.0;169778.0;182984.0;173908.0;159804.0;140765.0;134127.0;112372.0;85984.0;60345.0;36359.0;20815.0;10666.0;3295.0;M
Kahramanmaraş-46;53537.0;45041.0;39985.0;42141.0;45253.0;39701.0;35702.0;28333.0;26405.0;20824.0;15892.0;12227.0;8032.0;3980.0;2935.0;715.0;M
Karabük-78;10130.0;14205.0;9049.0;8023.0;8581.0;8405.0;8328.0;7906.0;7557.0;6689.0;5491.0;4004.0;2580.0;1311.0;1024.0;183.0;M
Karaman-70;10120.0;10658.0;9012.0;9555.0;9730.0;8556.0;8427.0;7317.0;6729.0;5389.0;4419.0;3216.0;2153.0;1511.0;937.0;278.0;M
Kars-36;13542.0;14762.0;12632.0;10555.0;9945.0;8493.0;8466.0;6601.0;6381.0;5021.0;3416.0;3116.0;1923.0;1140.0;714.0;196.0;M
Kastamonu-37;13324.0;15596.0;12747.0;12392.0;13208.0;12163.0;11472.0;11145.0;13223.0;12860.0;10251.0;8250.0;5682.0;2821.0;2203.0;446.0;M
Kayseri-38;57555.0;55855.0;48780.0;52937.0;57220.0;51552.0;46971.0;39403.0;35359.0;29504.0;21609.0;15252.0;9301.0;4680.0;3379.0;649.0;M
Kilis-79;6379.0;7176.0;5973.0;5316.0;4787.0;4121.0;3958.0;3387.0;3102.0;2197.0;1769.0;1421.0;877.0;552.0;340.0;86.0;M
Kırıkkale-71;11651.0;12861.0;9885.0;9664.0;10188.0;9220.0;9446.0;9740.0;9197.0;7397.0;5915.0;4171.0;2589.0;1354.0;911.0;190.0;M
Kırklareli-39;10793.0;17158.0;14207.0;13336.0;14493.0;14042.0;12952.0;12515.0;12660.0;11702.0;9003.0;5880.0;3503.0;2325.0;1327.0;401.0;M
